THCIC_ID,PROVIDER_NAME,ZIP
672000,Select Specialty Hospital-Dallas,75115
674000,TOPS Surgical Specialty Hospital,77090
675000,Kingwood Medical Center,77339
676000,Kindred Hospital-Houston Medical Center,77030
677001,North Central Baptist Hospital,78258
679000,Burleson St Joseph Health Center-Caldwell,77836
680000,Kindred Rehab Hospital Clear Lake,77598
680001,HealthSouth Rehab Hospital Dallas,75230
681001,Methodist Ambulatory Surgery Hospital-Northwest,78240
681400,Kell West Regional Hospital,76310
684000,HEALTHSOUTH Rehab Hospital-Texarkana,75501
685000,HEALTHSOUTH Rehab Hospital-Wichita Falls,76302
686000,Covenant Childrens Hospital,79410
689401,CHRISTUS Spohn Hospital Alice,78332
690000,Kindred Hospital-Tarrant County,76011
690600,LifeCare Hospital-Fort Worth,76132
691000,Memorial Specialty Hospital,75904
692000,Trinity Mother Frances Rehab Hospital,75701
693000,HEALTHSOUTH Rehab Hospital-Midland/Odessa,79707
694100,Surgery Specialty Hospitals of America-Southeast Housto,77504
695000,HEALTHSOUTH Rehab Hospital The Woodlands,77384
698004,Cornerstone Hospital Houston-Clear Lake,77598
698005,Cornerstone Hospital Houston-Bellaire,77081
700000,Cornerstone Hospital-Austin,78756
700003,HealthSouth Rehab Hospital Mid-Cities,76021
701000,Mesa Hills Specialty Hospital,79912
702001,Acuity Hospital South Texas,78212
703000,Corpus Christi Medical Center-Bay Area,78412
703002,Corpus Christi Medical Center-Doctors Regional,78411
703003,Corpus Christi Medical Center-Heart Hospital,78413
703005,Bayview Behavioral Hospital,78414
704004,Corpus Christi Medical Center-Northwest,78410
706000,Kindred Hospital Houston NW,77065
708000,CHRISTUS Dubuis Hospital-Beaumont,77702
708001,CHRISTUS Dubuis Hospital-Port Arthur,77642
709001,Red River Hospital,76301
711900,Big Bend Regional Medical Center,79830
712500,HealthBridge Childrens Hospital-Houston,77082
713001,CHRISTUS St Michael Rehab Hospital,75503
714000,Northwest Texas Surgery Center,79121
714500,Ennis Regional Medical Center,75119
717000,LifeCare Hospital-Dallas,75235
717500,Physicians Centre Hospital,77801
718000,Devereux Texas Treatment Network,77573
718002,Highlands Rehabilitation Hospital,79936
719400,Kindred Hospital-White Rock,75218
720000,Texas Health Seay Behavioral Health Center,75093
720401,Kindred Hospital Baytown,77520
720402,Kindred Hospital Clear Lake,77598
723001,Laurel Ridge Treatment Center,78259
724200,Texas Health Presbyterian Hospital Allen,75013
724700,Houston Methodist Willowbrook Hospital,77070
725400,Christus Mother Frances Hospital-Jacksonville,75766
727100,Kindred Hospital El Paso,79902
728200,El Paso Specialty Hospital,79902
728800,Grimes St Joseph Health Center,77868
730001,Texas Health Heart & Vascular Hospital,76012
736000,DePaul Center,76712
737000,Clarity Child Guidance Center,78229
739001,Texas NeuroRehab Center,78745
740000,St Lukes Hospital at the Vintage,77070
744001,Cypress Creek Hospital,77090
747000,River Crest Hospital,76901
750000,Methodist Hospital for Surgery,75001
752000,Timberlawn Mental Health System,75218
754000,Glen Oaks Hospital,75403
755001,West Oaks Hospital,77074
758000,Houston Hospital for Specialized Surgery,77004
763000,Plaza Specialty Hospital,77004
765001,Millwood Hospital,76011
766000,Green Oaks Hospital,75251
770000,Seton Shoal Creek Hospital,78731
777000,East Texas Medical Center Specialty Hospital,75701
778000,Texas Health Springwood Hospital,76022
781400,Winnie Community Hospital,77665
782001,Intracare North Hospital,77090
784400,Baylor Heart & Vascular Center,75226
785900,Select Specialty Hospital-South Dallas,75237
786200,New Braunfels Regional Rehab Hospital,78130
786800,South Texas Spine & Surgical Hospital,78258
787400,Baylor Medical Center-Frisco,75033
787500,Dubuis Hospital-Paris,75460
788001,CHRISTUS St Michael Health System,75503
788002,Harlingen Medical Center,78550
788003,Christus St Michael Hospital Atlanta,75551
789800,LifeCare Hospital-Plano,75075
790200,Texas Spine & Joint Hospital,75701
790500,Memorial Hermann Surgical Hospital First Colony,77479
792000,Texas Orthopedic Hospital,77030
792600,Kindred Hospital Spring,77373
792601,Kindred Hospital Tomball,77375
792700,Kindred Hospital Sugar Land,77479
792702,Kindred Hospital Town & Country,77043
793000,Mainland Medical Center,77591
793100,St Lukes The Woodlands Hospital,77384
794000,Northwest Hills Surgical Hospital,78731
794200,Menninger Clinic,77035
794600,Select Specialty Hospital-Longview,75601
795000,Nexus Specialty Hospital Shenandoah Campus,77380
795001,Nexus Specialty Hospital,77380
796000,Plum Creek Specialty Hospital,79124
797100,Doctors Hospital-Renaissance,78539
797101,Womens Hospital-Renaissance,78539
797500,Seton Southwest Hospital,78737
797600,Seton Northwest Hospital,78759
799000,East Texas Medical Center Rehab Hospital,75701
799001,USMD Hospital-Arlington,76017
799500,Baylor Surgical Hospital at Las Colinas,75063
800000,Kindred Hospital Tarrant County Fort Worth SW,76132
800010,Houston Methodist West Hospital,77094
800700,Kindred Hospital-Fort Worth,76132
801000,Kindred Hospital Bay Area,77505
801300,Foundation Surgical Hospital of El Paso,79936
801500,Lubbock Heart Hospital,79416
802001,McAllen Medical Center,78503
802003,McAllen Heart Hospital,78503
804000,Sunrise Canyon,79404
804500,Baylor Surgical Hospital-Fort Worth,76110
805000,Plano Specialty Hospital,75075
805100,Baylor Medical Center Trophy Club,76262
806002,Cedar Crest Hospital,76513
806300,Baylor Scott & White Medical Center Centennial,75035
806500,Tyler Continue Care Hospital,75701
812800,Texas Health Harris Methodist Hospital Southlake,76092
813100,Texas Institute for Surgery-Texas Health Presbyterian-D,75231
813800,Memorial Hermann Specialty Hospital Kingwood,77339
814000,Las Colinas Medical Center,75039
814001,Baylor Scott & White Medical Center-Plano,75093
815000,LifeCare Hospital-San Antonio,78240
815300,Texas Health Center-Diagnostics & Surgery Plano,75093
816001,Allegiance Behavioral Health Center-Plainview,79072
816300,Solara Hospital McAllen,78503
818200,Pine Creek Medical Center,75235
818600,Kingwood Pines Hospital,77339
820800,Texas Health Presbyterian Hospital-Denton,76201
821001,LifeCare Hospital-South Texas-South,78503
821002,LifeCare Hospitals-South Texas - North,78504
821100,South Texas Rehab Hospital,78526
822001,Houston Physicians Hospital,77598
822800,Westlake Medical Center,78746
823000,Houston Methodist Sugar Land Hospital,77479
823400,St Marks Medical Center,78945
826800,University Behavioral Health-Denton,76201
829000,Heart Hospital-Austin,78756
829900,North Austin Medical Center,78758
830000,Cornerstone Regional Hospital,78539
831700,Mayhill Hospital,76208
831800,Kindred Rehabilitation Hospital Arlington,76012
832900,Pampa Regional Medical Center,79065
835700,St Davids Georgetown Hospital,78626
836300,Laredo Specialty Hospital,78041
837800,Hickory Trail Hospital,75115
838400,Memorial Hermann Rehab Hospital Katy,77450
838600,St Joseph Medical Center,77002
839100,Vibra Specialty Hospital,75115
839200,Regency Hospital - Fort Worth,76137
840000,Mesquite Specialty Hospital,75149
840200,University General Hospital,77591
840700,Solara Hospital Harlingen,78550
841300,El Paso LTAC Hospital,79902
842800,Methodist Mansfield Medical Center,76063
843200,North Cypress Medical Center,77429
844000,Heart Hospital Baylor Plano,75093
844200,Integrity Transitional Hospital,76208
844600,Warm Springs Rehab Hospital-San Antonio,78229
844601,Warm Springs Rehab Hospital Thousand Oaks,78247
844602,Warm Springs Rehab Hospital Westover Hills,78251
844800,Weatherford Regional Medical Center,76086
846100,St Lukes Patients Medical Center,77505
846200,Covenant Specialty Hospital,79410
847000,Texoma Medical Center,75020
847100,Memorial Hermann Northeast,77338
847500,Solara Hospital-Brownsville Campus,78526
848100,PAM Specialty Hospital of Victoria North,77904
848200,PAM Specialty Hospital of Luling,78648
850300,Baylor Scott & White Continuing Care Hospital,76502
852000,Dell Childrens Medical Center,78723
852100,Foundation Bariatric Hospital-San Antonio,78240
852600,Baylor Scott & White Medical Center Round Rock,78664
852900,Physicians Surgical Hospital-Quail Creek,78250
852901,Physicians Surgical Hospital-Panhandle Campus,79106
854100,Cornerstone Hospital Conroe,77304
854400,Central Texas Rehab Hospital,78705
855200,Austin Lakes Hospital,78705
858200,Ethicus Hospital DFW,76051
858300,Cedar Park Regional Medical Center,78613
858600,El Paso Behavioral Health System,79902
859900,Texas Health Presbyterian Hospital-Rockwall,75032
860600,North Central Surgical Center,75231
861300,Healthsouth Rehab Hospital of Richardson,75080
861400,USMD Hospital Fort Worth,76177
861700,Seton Medical Center Williamson,78665
861900,Kate Dishman Rehab Hospital,77702
862000,Methodist Rehab Hospital,75237
863300,CHRISTUS Santa Rosa Hospital New Braunfels,78130
864600,Carrus Specialty Hospital,75092
865000,The Hospitals of Providence East Campus,79938
865900,Icon Hospital,77054
866100,HealthSouth Rehab Hospital of Round Rock,78681
869700,St Lukes Sugar Land Hospital,77479
871500,Select Rehab Hospital-Denton,76201
873200,Baylor Emergency Medical Center at Aubrey,76227
873700,Healthsouth Rehab Hospital Vision Park,77384
873800,Baylor Institute for Rehab-Fort Worth,76132
874000,Atrium Medical Center,77477
874100,Methodist Stone Oak Hospital,78258
902200,Texas Rehabilitation Hospital-Fort Worth,76104
914000,Kindred Hospital Dallas Central,75231
915000,Aspire Hospital,77304
916000,Emerus Hospital,75087
919000,Baylor Scott & White Medical Center Sunnyvale,75182
920000,Healthsouth Rehab Hospital Abilene,79606
921000,Seton Medical Center Hays,78640
923000,St Lukes Lakeside Hospital,77384
931000,South Texas Surgical Hospital,78414
936000,Baylor Orthopedic and Spine Hospital - Arlington,76015
937000,Methodist McKinney Hospital,75070
941000,Kindred Hospital The Heights,77008
943000,Texas Health Presbyterian Hospital Flower Mound,75028
945500,Victory Medical Center Houston,77004
957000,Carrus Rehab Hospital,75902
969000,HEALTHSOUTH Sugar Land Rehab Hospital,77479
969200,Behavioral Hospital-Bellaire,77081
969500,Carrollton Springs,75010
969600,Kindred Rehab Hospital Northeast Houston,77338
969700,El Paso Childrens Hospital,79905
970600,Healthsouth Rehab Hospital The Vintage,77070
970800,HealthSouth Rehabilitation Hospital South Austin,78704
971000,Seton Medical Center Harker Heights,76548
971200,Accel Rehab Hospital of Plano,75093
971900,Baylor Scott & White Medical Center McKinney,75071
972200,Cornerstone Hospital of South Houston,77004
972420,Baylor Emergency Medical Center,76034
972810,Baptist Emergency Hospital Overlook,78258
972900,Texas Health Harris Methodist Hospital Alliance,76131
972960,PAM Specialty Hospital of San Antonio,78249
973000,Baptist Emergency Hospital Westover Hills,76107
973100,St Joseph Medical Center-Heights,77002
973120,Baptist Emergency Hospital Schertz,78154
973130,PAM Specialty Hospital of Allen,75013
973150,Nix Community General Hospital,78017
973160,Austin Oaks Hospital,78745
973180,Crescent Medical Center Lancaster,75146
973240,Oceans Behavioral Hospital Abilene,79602
973250,PAM Specialty Hospital of Corpus Christi South,78414
973290,Arise Austin Medical Center,78746
973300,Select Rehabilitation Hospital-San Antonio,78239
973310,Corpus Christi Rehabilitation Hospital,78414
973320,PAM Specialty Hospital of Victoria South,77904
973340,Vibra Hospital of Amarillo,79106
973350,Vibra Rehabilitation Hospital Amarillo,79106
973390,Star Medical Center,75093
973400,Dallas Behavioral Healthcare Hospital,75115
973410,Cornerstone Hospital of Austin - Round Rock,78665
973420,Oceans Behavioral Hospital of Lufkin,75904
973430,Mesa Springs,76123
973450,PAM Specialty Hospital of Victoria,77901
973530,Nix Behavioral Health Center,78229
973540,Baylor Emergency Medical Center at Keller,76248
973550,Baylor Emergency Medical Center at Murphy,75094
973590,ContinueCare Hospital at Hendrick Medical Center,79601
973600,Emerus Community Hospital,77375
973610,Baylor Emergency Medical Center at Rockwall,75087
973620,Houston Methodist St Catherine Hospital,77450
973640,Houston Methodist St John Hospital,77058
973730,Rock Springs,78626
973740,Little River Healthcare - Cameron Hospital,76520
973750,Walnut Hill Medical Center,75231
973770,Oceans Behavioral Hospital of Fort Worth,76132
973780,Promise Hospital of Dallas,75235
973800,Promise Hospital of Wichita Falls,76301
973830,Rock Prairie Behavioral Health,77845
973840,Parkway Surgical and Cardiovascular Hospital,77389
973850,Resolute Health,78130
973860,Altus Baytown Hospital,77521
973900,San Antonio Behavioral Healthcare Hospital,78222
973910,Georgetown Behavioral Health Institute,78626
973920,Baylor Emergency Medical Center,76034
973930,CHRISTUS Santa Rosa Hospital Alamo Heights,78209
973960,Bay Area Regional Medical Center,77598
973970,Warm Springs Rehab Hospital Kyle,78640
974150,Woodlands Specialty Hospital,77386
974160,Oceans Behavioral Hospital of Plano,75093
974220,Baylor Emergency Medical Center,76034
974260,Westpark Springs,77407
974270,Select Specialty Hospital Dallas (Downtown),75115
974280,Hopebridge Hospital,77035
974290,Haven Behavioral Hospital of Frisco,75034
974300,Select Specialty Hospital Dallas at Garland,75042
974310,Vibra Rehab Hospital of Lake Travis,78734
974340,PAM Specialty Hospital of Texarkana South,75501
974350,PAM Specialty Hospital of Texarkana North,75503
974360,PAM Specialty Hospital of Corpus Christi North,78404
974370,Houston Behavioral Healthcare Hospital,77080
974380,Texas General Hospital Van Zandt Regional Medical Cente,75140
974390,Pearland Medical Center,77584
974400,Sundance Hospital Dallas,75042
974470,Laredo Rehabilitation Hospital,78041
974480,Weimar Medical Center,78962
974490,Medical Center of Alliance,76177
974500,Oceans Behavioral Hospital of Katy,77450
974530,PAM Rehabilitation Hospital of Clear Lake,77598
974620,Cross Creek Hospital,78754
974680,Weslaco Regional Rehab Hospital,78596
974710,Houston County Medical Center,75835
974720,ContinueCare Hospital at Medical Center Odessa,79761
974730,Texas Rehab Hospital of Arlington,76015
974800,First Texas Hospital,75006
974810,Oceans Behavioral Hospital of San Marcos,78666
974820,Memorial Hermann Orthopedic and Spine Hospital,77401
974910,Baylor Scott & White Surgical Hospital at Sherman,75090
974920,Plano Surgical Hospital,75093
974940,Baylor Scott & White Medical Center Marble Falls,78654
974980,Cumberland Surgical Hospital,78249
974990,Garland Behavioral Hospital,75042
975000,Weatherford Rehabilitation Hospital,76086
975010,Our Childrens House,75247
975020,TrustPoint Rehabilitation Hospital of Lubbock,79415
975111,Medical Center of Southeast Texas Victory Campus,77706
975112,Cleveland Emergency Hospital,77327
975121,JPS Health Network - Trinity Springs North,76104
975122,CHI St Lukes Health Springwoods Village,77389
975124,Sun Behavioral Houston,77054
975125,Pine Valley Specialty Hospital,77087
975129,First Baptist Medical Center,75231
975130,AD Hospital East,77015
975131,Bellaire Surgical Hospital,77401
975138,Memorial Hermann Pearland Hospital,77584
975139,Medical City Frisco,75034
975140,League City Campus Hospital,77573
975141,Kindred Hospital Medical Center Holcombe,77030
975142,Icare Rehabilitation Hospital,75028
975143,Vibra Hospital of Richardson,75080
975149,PAM Rehabilitation Hospital of Beaumont,77707
975152,Providence Hospital of North Houston,77090
975153,Methodist Southlake Hospital,76092
975154,Saint Camillus Medical Center,76054
975155,Kindred Hospital San Antonio Central,78205
975159,Christus Mother Frances Hospital Sulphur Springs,75482
975162,CHI St Joseph Rehab Hospital,77802
975164,Palms Behavioral Health,78550
975165,Baylor Scott & White Medical Center Lakeway,78738
975166,First Texas Hospital,75006
975167,Texas Health Hospital Clearfork,76109
